Text,Target,toxicity,severe_toxicity,obscene,threat,insult,identity_attack
"The result does improve the state-of-the-art, but it is not strong enough for acceptance",N,0.0006072472,0.00012396988,0.00017677092,0.00012867639,0.00017653208,0.00014264061
I would advise the authors to go back to the drawing board and consider exactly what this paper is trying to do and do this well.,N,0.0005585973,0.00013311389,0.00017633373,0.00014651885,0.00017800598,0.00014946127
"Yes measurements were made, but why, besides a teaching exercise, remains obscure.",N,0.0005805464,0.00013189073,0.00019637092,0.00012001317,0.00018492134,0.000143653
The authors are amateurs,N,0.0006992792,0.00011479252,0.00017644458,0.000116157906,0.00017903752,0.00013913182
"In any aspect that this paper is different from XXX et al., (20XX), it shouldn't be",N,0.0006457585,0.00012036546,0.00018978798,0.00012309244,0.0001741882,0.0001382127
The first sentence is unfortunate,N,0.0014498291,9.45E-05,0.0001852563,9.68E-05,0.00021144762,0.00015309907
This paper is very weak.,N,0.032235198,0.000105109844,0.0005163309,0.00019970551,0.0010879205,0.00037358614
"When the reader is finished struggling through all the methods and results, he/she is left wondering whether it was worth the time.",N,0.0006458886,0.00012365135,0.00017289966,0.00013966564,0.00018479548,0.00014455275
"There is hardly any paragraph (even in the abstract) that is not messy, disorganized, confusing, that does not contain mistakes (some are quite embarrassing), redundancies, abusive shortcuts or discussions that sound absurd",N,0.0010733651,0.00010134261,0.00017618836,0.00010953876,0.00019261445,0.0001456316
"Frankly, she knows nothing about invasion biology or the Great Lakes and should stick with what she does know.",N,0.0011988573,9.84E-05,0.00017456664,0.00011180576,0.00019064768,0.00014866487
My summary assessment of the paper is as follows:Introduction: PoorBackground: PoorMethods: PoorResults: PoorDiscussion: PoorConclusions: Poor Overall assessment: PoorRecommendation: RejectFurther Comments: Why was this submitted to a journal?,N,0.00078411394,0.000106558036,0.00017368651,0.00011289304,0.00018256583,0.00013623091
The presentation of the paper is difficult to follow for a hard scientist and it sometimes reads as if it were machine generated.,N,0.00057054433,0.0001278284,0.00018312632,0.00012960365,0.00018137417,0.0001405565
"Most part of 'methodology' is useless, most of paragraphs are inrelevant to the main topics.",C,0.0012600559,9.66E-05,0.00017910104,0.00010796335,0.0002027183,0.00014484872
"Sometimes I am diplomatic and sometimes critical, but this time I am resolute. I fail to see the contribution either to physics or social science.",N,0.0006452577,0.0001233253,0.00017504534,0.00013125826,0.00017956957,0.00014840257
"This is a very difficult paper to review, and difficult - even painful - to read",N,0.00072618504,0.000116626376,0.00017456964,0.00012743128,0.0001784817,0.000143229
"XX is inserted purely for fashion, adds nothing, and reflects the authors' belief/wish that fashionable papers regardless of logic or content have a larger chance of acceptance. Our community needs to combat this sort of unreflexive pseudo-scholarship.",N,0.0007731388,0.00011272609,0.00016491473,0.00012116789,0.00018117866,0.00014767842
Perhaps what I have written is deflating.,N,0.00066381023,0.00011799209,0.0001787813,0.000117074975,0.00017798578,0.00014194039
I am sorry but this paper does not leave me satisfied,N,0.00088722014,0.00010637722,0.00016766362,0.0001247943,0.00017931891,0.00014377716
"I had no idea what this concept was until reading your paper, but your abstract wouldn't have made me want to read it had I not been a reviewer",C,0.0006261056,0.000121505735,0.00017881284,0.00012587277,0.00017625422,0.00014034555
The experimental design is a bit funny,C,0.0006457948,0.0001185187,0.00017827266,0.0001166583,0.00017513732,0.00013869074
"I cannot make out signs of independent thinking, work beyond the state of the art, or anything ground-breaking.",N,0.00057476835,0.00012956781,0.00018249534,0.00012753693,0.00018229584,0.0001474821
This reviewer was a bit concerned about the results section given that it appears that participants in the current study were randomly assigned to one of three experimental conditions,N,0.00053921307,0.00013173776,0.00018428573,0.00013764086,0.00017725669,0.00014433706
claiming 'insights' that rarely amount to very much beyond the bleeding obvious. [..] the problem with jargon is that 'any idiot can pick it up and have a go,N,0.5732361,0.0012236066,0.05201326,0.0005834211,0.3395175,0.0033560777
The results are as weak as a wet noodle,N,0.061231468,0.00013567698,0.00091818173,0.0002673655,0.001947226,0.00044295826
The manuscript embarrassingly fails in addressing the declared aims.,N,0.0009408107,0.00010420518,0.00016232618,0.00011403829,0.00018434426,0.00014540598
"There are two possibilities. 1) This paper is part of an experiment to try and determine how badly a research paper can be but still be accepted, or 2) The authors are actual fools and it would be in the editor's best interest to ban them from submitting to the journal in the future.",N,0.059115164,0.00015294236,0.0014203456,0.00028004995,0.00699192,0.000841177
"I am, frankly, underwhelmed by the revisions. Most of the responses sound smooth, but really just written to avoid serious additional work.",N,0.00065650325,0.000119872595,0.00018453771,0.00011772528,0.0001797078,0.00013988328
I do not want to see the paper again.,N,0.0013135931,0.00010055576,0.00017159412,0.000117813885,0.00018050859,0.0001604459
This paper is absolutely ridiculous. It shouldn't be published anywhere and the author should not be encouraged to revise.,N,0.09237861,0.00015206086,0.0012756955,0.00044828546,0.0027019638,0.00069225434
"Finally, I have substantial criticisms, in addition to the disappointment of seeing hoary old chestnuts",N,0.00080830813,0.00011260126,0.00016324493,0.00011875705,0.00018683758,0.0001517396
"Table 4 seems unnecessary given figure 8. Indeed, figure 8 also seems unnecessary.",C,0.00060774107,0.00012490312,0.000182388,0.00012861603,0.0001801719,0.00014456957
The English language ranks this manuscript among the top 5 worst manuscripts I have ever reviewed,N,0.102497704,0.0001608328,0.0019868105,0.00028370533,0.00492177,0.0004790524
there is no evidence to show this is the first paper to propose the idea,C,0.0006752477,0.00011520736,0.0001765698,0.00012253849,0.00017383197,0.00013894634
The writing is not at school level,N,0.0007563907,0.000118254866,0.00017026241,0.00012857532,0.00020180669,0.00015266145
"An exercise in feature manipulation, of the brainless kind",N,0.007786697,9.33E-05,0.00031535843,0.00010666702,0.000554384,0.00023731783
I apologize for this but frankly some parts read like a report of a high-school student on a scientific experiment.,N,0.0006498809,0.000116432806,0.00016838136,0.000119369455,0.00018359734,0.00014045963
There is no need to test these hypotheses. They have been tested a long time ago. It is in all textbooks.,C,0.0007216529,0.000113678485,0.0001719184,0.00011648812,0.00017613628,0.00014240401
This would seem to constitute the very minimum basic scientific requirement for attempting to publish a body of (unoriginal) data,N,0.0007061051,0.000117675896,0.00017396214,0.00013059074,0.00017699237,0.00014109565
"The entire paper reads a bit like someone who has searched around the social scientific research literature without much authentic understanding of social science, social scientific research methodology, or statistical analyses",C,0.0006178772,0.00012293221,0.00017445431,0.00013211994,0.00018275234,0.00014489525
"Which means that, as the saying goes, if their results are correct they cannot be new, and if they are ânewâ they cannot possibly be correct.Frankly, it is hard to say which is the case",N,0.0008576146,0.0001061551,0.00017223785,0.0001092744,0.00018085109,0.0001419929
I am not convinced if any clear real value of this research.,N,0.00059171935,0.00012764252,0.0001837138,0.00012730109,0.00017734325,0.00014489719
This [sentence] construction should be reserved for police procedurals and bad Mafia movies.,N,0.00066135696,0.00012000058,0.00017761992,0.00013386054,0.00017840495,0.00014181834
"The authors are perpetuating misguided generalizations in the face of substantial
 
 
 experimental data to the contrary",C,0.00078381924,0.00011092298,0.00016795035,0.00012099665,0.00017592178,0.00014565993
"There are also other points that have to be addressed, but considering the current state of the manuscript, I do not think it is makes sense to go into further detail.",N,0.00054209714,0.00013713204,0.00019918827,0.0001321571,0.00018262414,0.00014732945
"It is very lengthy, full of mistakes, irrelevant information, and completely fails to attract readers.",N,0.0011500765,9.92E-05,0.00017130231,0.000107490196,0.00019915313,0.00014409448
Why chase a gene in this ridiculous organism?,N,0.16568021,0.00021571503,0.0025241734,0.00028918294,0.0076064244,0.0006548392
Future work: The authors' personal research agenda is irrelevant here.,N,0.00062645593,0.00012202195,0.00017871312,0.00012750506,0.00018116191,0.00014298187
Line 306. The sentence follows a bit of a Yoda-esque grammar,N,0.00072782533,0.000109730914,0.00017689975,0.0001109178,0.00018097942,0.00013602155
I just don't get the point of this,N,0.0010148562,0.00011564532,0.00022254576,9.83E-05,0.00018521356,0.0001464183
I suggest you consult a competent statistical advisor.,N,0.0005524276,0.000137034,0.00018800561,0.00014099141,0.0001810488,0.00014875122
It is more of a blog post than a research article,N,0.0010916184,0.0001002861,0.0001870893,0.00010711203,0.00018427959,0.0001357567
The sum total is frustration with what I can only call cavalier treatment of promising material.,N,0.00118914,9.86E-05,0.0001877054,0.0001023914,0.0001883519,0.00014331233
With the appropriate revisions these results could provide a very limited contribution to the field.,N,0.00052320486,0.00013966045,0.00019276438,0.00013934598,0.00018215111,0.00014801606
I have rarely read a more blown-up and annoying paper in the last couple of years than this hot-air balloon manuscript,N,0.007539184,9.46E-05,0.00048763465,0.00012203232,0.00041508503,0.0001746682
This paper introduces tools to answer questions which it does not seem many people are interested in,N,0.00064338045,0.00011961158,0.00017513582,0.0001312415,0.00017489218,0.00014039052
"In a nutshell, please cut out all the hype, show some integrity, and write a balanced paper.",C,0.0007661559,0.00011090754,0.00017699017,0.000121944715,0.00018252681,0.00013818528
The first problem is that the method - whatever it is and however it works - is insufficiently evaluated.,C,0.00084398064,0.000109549626,0.00017726007,0.000117179174,0.00018302439,0.00014244666
"Since the paper is mathematically empty and, compared with the conference version, provides no new ideas or findings,
 
 
 in general, I see no reason why it should be published in a journal as well.",C,0.0006304327,0.00012163788,0.00018127232,0.00012322384,0.00018081591,0.00014153398
Figure 6. This figure is silly.,C,0.29810172,0.00025302364,0.0036121188,0.00037552824,0.016507657,0.00085609924
Various statements seem to be sweeping and inaccurate generalizations with little robust justification,C,0.0007401708,0.00011243441,0.00016843773,0.00012189275,0.00018374498,0.00014212429
The manuscript reads much like an unrevised masters level paper.,N,0.000579472,0.00012619751,0.00018289563,0.00012271729,0.00018049999,0.00014292776
"You do not use the empirical data for the analysis, but the empirical data uses you",N,0.00070982357,0.00011483357,0.0001676195,0.00012462068,0.00018440085,0.0001408534
"The candidate demonstrates no understanding of the subject matter and his proposal title is misleading. Furthermore, his career prospects are unclear.",N,0.0005809831,0.00012686786,0.00017916765,0.0001288161,0.00018317121,0.00014433623
"Since the manuscript is so lacking in all aspects, I won't bother going through it in detail.",N,0.0006092367,0.00012594361,0.00018339421,0.00012705091,0.00018227447,0.00014040526
"The author does not exhibit adequate acquaintance with the subject under discussion, the scholarship on it, the structure of logical argument, or the writing of English.",C,0.00058660517,0.00012680232,0.00018036854,0.0001283,0.00018085333,0.00014688815
"Publishable, but why?",N,0.00068472023,0.00011992051,0.00017972973,0.000117708674,0.00018320912,0.00014487523
"I believe that the authors have done scientific work, but in the current form of the paper it is impossible to judge it.",N,0.00055330945,0.00013333213,0.00019053629,0.00013131573,0.00018004842,0.0001480536
"The color rainbow is pretty, but largely useless.",N,0.015837608,9.99E-05,0.00047842492,0.00014442737,0.000742024,0.00024573962
The authors report results from pages 16-26. This section reflects what I would brutally call 'death by figures',N,0.0023667228,0.00010033489,0.00023917483,0.0001522132,0.0002200826,0.0001675642
I cannot possibly imagine what could have led the authors to believe that their paper was remotely interesting enough to submit for publication.,N,0.00060804584,0.00012418842,0.00017197069,0.00012549908,0.00018037028,0.00014580236
Usually climate studies do not show a good method for the proposed research. This is one of them.,N,0.0005937345,0.00012481584,0.00017871654,0.00012630971,0.00017640991,0.00014441168
This is starting to feel like a book report,N,0.0009253791,0.000103446895,0.00017699154,0.000109440625,0.00017708674,0.00013738005
"If the editor somehow decides to accept this paper, they risk permanently destroying the credibility of this journal and its entire editorial board.",N,0.0010662087,0.00010910573,0.00016126555,0.00014950716,0.00019300566,0.00016216483
"Right now, there is zero rationale for the study and zero reason to read the study.",N,0.000772554,0.000109233355,0.00017022328,0.000114044175,0.00018080833,0.00013890369
Details of how important these effects are are missing. Ref.75 is entertaining but inadequate in this respect.,C,0.0006015019,0.00012540242,0.00018074972,0.0001269332,0.00017963568,0.00014295694
It is essentially an opinion piece that editorializes shamelessly about the superior methods of a recent paper in the first person,N,0.012968354,9.70E-05,0.0006601926,0.00016624505,0.0005929091,0.00021006208
I have difficulties identifying the aim and added value of the present study to this topic.,C,0.0005427563,0.00013350973,0.00018189459,0.00013580862,0.00017983447,0.00014735728
"The experiments are reasonable, but they fail the fundamental test of good science",N,0.0009176562,0.0001041423,0.00015920674,0.000114334674,0.00019047217,0.00014998521
I regret to inform you that our journal will not be able to publish your work. We contacted meanwhile 16 (sixteen!) reviewers of which 12 (twelve) did not respond positively (the others did not answer our queries).,N,0.00059990224,0.00013063432,0.00017205614,0.00014408678,0.00017750735,0.00015169998
Your proposed method should be compared with another method that introduced in a prestigious paper'[full review],C,0.00058601453,0.00012365595,0.00017309908,0.00013456366,0.00017593084,0.00014151617
Appears to be on the perimeter of meaningful investigation.,N,0.00060224073,0.00012744137,0.00019142803,0.00012255533,0.00018206672,0.00014364437
The rest of the Introduction is just as badly done as the first paragraph so I will not continue,N,0.00066364073,0.00011889471,0.00017318691,0.00012695124,0.00017894758,0.0001425154
This article is on an interesting topic. Unfortunately there is no more positive to say about this manuscript.,N,0.00055589573,0.00013392209,0.00019433115,0.00013247291,0.00017896174,0.00014589861
The study is poorly conceived and inadequately conducted and the conclusions made by the authors do not necessarily follow from the results,N,0.0009086685,0.0001063828,0.00016929417,0.00012063147,0.00019254541,0.00014528428
It reads more like a diagnosis confirmed by a set of examples,N,0.0006053373,0.0001242012,0.00018419807,0.0001174798,0.00017848256,0.00014028468
"Thus, there is nothing new in the manuscript that warrants publication in Science or most other scientific journals.",N,0.00067333196,0.000119559234,0.00017386976,0.0001299634,0.00017922148,0.00014421737
"Recommendation: Publish elsewhere
 
 
 Comments: [none]",N,0.0006153426,0.00012108553,0.00017937328,0.0001257432,0.00017595466,0.0001406136
It is safe to say that the authors want to see their paper published more than I really want to reject it,N,0.00069770054,0.000119873395,0.00016871806,0.00014532295,0.0001726769,0.00014638592
"The work is trivial, and there is no novelty in the work, the approach or the results. The authors do not solve anything and the implications in this context are quite possibly irrelevant.",C,0.0005961529,0.00012702607,0.00018711697,0.00012802918,0.00018116398,0.00014320442
I am sorry if I am missing something obvious here but this is not my area of work.,N,0.00063606875,0.00011931051,0.00017677598,0.00012573566,0.00017523537,0.00013822298
"First, the paper is for a large part incomprehensible",N,0.0009271601,0.000104596926,0.00017583826,0.000116021634,0.00018430383,0.00013996095
The paper is presented as a rather undigestible and tortuous collection of disparate results,N,0.0012008025,9.81E-05,0.00017577742,0.00011324442,0.00020574809,0.00014583197
Such a prestigious journal can surely make better use of its limited space.,N,0.00058258313,0.00012813765,0.00017955861,0.00013400537,0.00017755525,0.00014282667
"The paper comes with proofs, but â at a first glance â they seem to be more cute than useful.",N,0.00057334907,0.00012613663,0.00017766854,0.00012149669,0.00017787263,0.0001428561
"It is hard to imagine researchers of this caliber being unaware of a half-century the field x, especially as concerns the bulk of what they have done in this paper.",N,0.0005716117,0.00012695912,0.00018740067,0.00012306368,0.00017741242,0.00014302974
"I was really looking forward to reading this manuscript, however this enthusiasm soon waned.",N,0.0005765568,0.00013291424,0.00018346643,0.00013743888,0.00018029736,0.00014884032
You are trying to do too much and end up accomplishing too little. It is a collection of good ideas that do not add up to or advance to any meaningful conclusion.,N,0.0010180809,0.0001043214,0.00015505185,0.00012533966,0.00019050486,0.00015399158
I felt like I was reading a horror movie - the scene where our protagonist leaves the door unlocked and says 'let's split up' to his/her comrades. and you know doom is surely going to reach our protagonist soon.,N,0.0020323696,0.00010172728,0.00018422231,0.00015514501,0.00021608267,0.00019118577
"That's not possible to do without mind-reading, and there's nothing in the Method section about mind-reading methods",N,0.00095694966,0.000102987644,0.00016964466,0.00011218767,0.00018701225,0.00014567937
"And the Vygotsky reference is a straight-up drive-by citation, adding nothing except whatever luster he adds to the authors' claims.",N,0.0010033571,0.00010153103,0.00018956914,9.50E-05,0.00019030641,0.00013999404
"By now, there are over 1,000 [articles on this topic], but these authors have not read a single one.",N,0.0005784657,0.00012661793,0.00018001633,0.00012597603,0.00017577993,0.00014403032
"How does [redacted theory] explain your results? Or really, your underwhelming results?",N,0.0008904079,0.000106397616,0.00016783956,0.0001154711,0.0001926308,0.00014580946
"While this study represents a substantial amount of work, it is not all that clear why the work was done.",N,0.0005588255,0.00013254721,0.00019474443,0.00012469628,0.00017973848,0.00014416745
I wish I could explain what is the purpose of the manuscript.,N,0.0005556213,0.00013122411,0.00018119975,0.00013094512,0.0001758921,0.00014505023
It seems that the author is simply engaged in proprietary phrase coining - advancing a new term for a well-researched phenomenon,N,0.00056440436,0.00012652355,0.00018106659,0.00012674597,0.00017750057,0.00014153682
"The team has generated the kind of gaudy, brobdignagian dataset that makes it such a curious and exciting time",N,0.00066955877,0.00011595825,0.00017264644,0.00012246374,0.00017832944,0.00014088268
So many electrons worked so very very hard on this paper,N,0.00070327276,0.00011607918,0.00017560973,0.00012062284,0.00016862541,0.00014411921
The discussion is inappropriate and the new content is generally poorly written,N,0.0010440929,0.0001027873,0.00016753352,0.000121530305,0.00019565884,0.00014823963
It just doesn't make sense.,N,0.0008323118,0.000114120536,0.00018773851,0.00010392683,0.00018653108,0.00014602733
"In a nutshell, I am not sure if the problem is indeed a challenge or just a fact that we have to live with, such as gravity or death, for which no solutions exist.",N,0.011734317,0.00013046937,0.0010999506,0.00016145356,0.0005762022,0.00019853693
"Moreover, it is unclear whether the effect is sufficiently important to warrant replication.",N,0.0005724312,0.00013214766,0.00019214688,0.00013399974,0.0001786741,0.00014643939
It is worth saying that I am not convinced that you contribute to the evidence base in this paper.,N,0.00058788667,0.00012636054,0.00017692927,0.00013475266,0.00017736794,0.00014468071
That's not how science is done.,N,0.00090365985,0.00010773813,0.00017317552,0.00011257934,0.00018230575,0.00014883891
The authors conclusions not only contradict their own data but also the laws of thermodynamics,C,0.0007644454,0.00011340479,0.00016890171,0.00012644335,0.00017726107,0.00014789953
"I really don't like to be harsh in my reviews, but ...",N,0.0007485175,0.000117171694,0.00018146499,0.00012772519,0.00017050788,0.00014239641
However I deplore the fact that this paper has been created at all,N,0.0008363309,0.000109300876,0.00016622571,0.00011955103,0.0001764587,0.00014479195
"While I think there is good reason to have performed this work, it does make for unexciting reading.",N,0.00053047313,0.00013663579,0.00019259461,0.00013001657,0.0001800129,0.00014677532
"Authors wanted to make title catchy but actually finished trivial title, a la 'Daily mail'",N,0.000647813,0.00011795665,0.00017953002,0.000119244985,0.00018082315,0.00013926788
"While the problem is a very important one for modern society, the topic and lessons are not of broad interest.",C,0.00062664313,0.00012317556,0.00017808034,0.00012387287,0.00017954834,0.0001437074
"Line 156-160; this is the only correct, sensible and interesting finding of the paper.",N,0.00058679056,0.00012423152,0.00017888701,0.0001265501,0.0001786138,0.00014122404
It feels a little bit like someone wanting to run a series of statistics.,N,0.00065369526,0.00011926193,0.00017775124,0.0001221803,0.0001783274,0.00013808373
Simply conducting the same analyses in a different data set does not equate novelty or impact to the field.,N,0.0005733786,0.00012678019,0.00018255938,0.00012731068,0.00018001668,0.00014220265
"Are the '10 random reps"" chosen at random?",C,0.00094909914,1.00E-04,0.00019272945,0.0001008423,0.00018463944,0.00012865762
The authors need to add a level of puzzlement to their interpretations,N,0.00056009326,0.00013740061,0.00019001467,0.00014374289,0.00018458065,0.00015019588
One wonders whether the analysis was an exercise in using a cannon to open an unlocked door.,N,0.00073809613,0.000112367205,0.00016499794,0.00012103474,0.00018188574,0.00014411619
This work is only a maths game.,N,0.0017993256,9.16E-05,0.0001971508,9.74E-05,0.0002168918,0.00015302931
"Overall, I think this manuscript is a waste of time.",N,0.05737176,0.00014511857,0.0016893534,0.00023231974,0.0024759516,0.0003533909
"Moreover, it is very difficult to see the actual contribution this manuscript will have",N,0.00058689906,0.00012815963,0.00018699442,0.00013323274,0.00017570167,0.00014120048
The abstract is intriguing but confusing,C,0.00060178345,0.0001282819,0.00018856503,0.00012332917,0.00018087764,0.00014506378
"I guess this proposal could be interesting, if you're interested in this obscure sect of biology",N,0.0005300107,0.00013841344,0.00019040788,0.00014325877,0.0001809349,0.00015140402
I don't understand thermodynamics.,N,0.0010307207,0.00010643353,0.00017068551,0.0001186079,0.00018572199,0.00015541005
"A great deal of effort has been expended here, but to what end?",N,0.00069335295,0.00011673686,0.00017109288,0.00012099954,0.00017932437,0.00014404749
This paper is desperate. Please reject it completely and then block the author's email ID so they can't use the online system in the future.,N,0.00067521224,0.00011797893,0.00016557665,0.00013295455,0.00017758978,0.00014610143
The Discussion section of the paper is neither informative nor enlightening and is certainly theoretically questionably,C,0.0006778916,0.0001169654,0.00017745658,0.00012653018,0.00017919276,0.00014033298
The word 'asses' should read 'assess',C,0.27868208,0.0020699755,0.2592053,0.00071744353,0.03266514,0.0017046072
"Cite newer, relevant references, especially those published by X 2012, and X 2008. Best wishes, Dr. X, Associate Editor",C,0.0005406672,0.00013868135,0.00020317982,0.00013322207,0.00018402848,0.00014798007
Intermediary steps and the apologetics for [topic x] derived from an ahistorical cult and its author.,C,0.0006013497,0.00012143669,0.00017978372,0.00011945462,0.0001795836,0.0001397152
The team is very experienced. It [the paper] felt a bit less self referential than they often are,C,0.0005681658,0.00012754045,0.00018475461,0.00012782034,0.00017650076,0.00014024589
"Sorry for our long silence, due to some perplexity on our side at reading your manuscript.",N,0.0006630986,0.00011803833,0.00017395185,0.00012182059,0.00017514017,0.00014335825
I recommend the publication even if I am not impressed,N,0.000598294,0.00012547873,0.00018055593,0.00013513457,0.00017055357,0.0001417563
"If the author is comfortable having his/her name on this paper, then I won't stand in the way of its publication.",N,0.00060618,0.0001288059,0.0001799669,0.00014323146,0.00017923515,0.00014720307
I am impatient with this vague assertion.,N,0.0005644463,0.00013304003,0.00019581505,0.00012830747,0.00018059587,0.00014511427
The length of this review is occasioned by the density of error and misconceived arguments in this manuscript. As a service primarily to the authors I have decided to actually try to convey a sense of the extreme nature of the problems encumbering this submission.,C,0.0005809009,0.00012696552,0.00018062843,0.00013291994,0.00017848187,0.00014361506
"Unfortunately, I cannot recommend this paper for publication because its contents violate the laws of physics",C,0.0007478059,0.00011479263,0.00017183185,0.00013000715,0.0001793437,0.00014525438
"The authors are permitted to believe what they want to, but the data did not support 'important implications.",C,0.0005839346,0.00012805848,0.00017649824,0.00013133652,0.00017556635,0.00014882372
"However, the applicant seems to have run out of steam before he developed a detailed plan for the proposed research and then completed the proposal. This is unfortunate.",N,0.00066094426,0.00011914623,0.00017538917,0.000121360186,0.00018168174,0.00014422314
This book has more mistakes than a hound has fleas,C,0.027646508,0.000101328595,0.00060782704,0.00019099776,0.0012781954,0.0003077413
I did not attempt to understand Figure 2 because there was no motivation given for it,C,0.0006888644,0.00011581416,0.00017727629,0.0001247818,0.00017898905,0.00013768522
"It looks to be more of a chance for the authors to promote a product using a poorly constructed, non-replicable pilot study",N,0.0005705525,0.00012642684,0.00017534937,0.00013610744,0.00018155566,0.00014595328
In order to be able to publish this manuscript it need [sic] to be rewritten in the form of a scientific article,C,0.00065969693,0.00011745135,0.00017578765,0.00012593929,0.00017193642,0.00013880518
"Through a streamlining of the argument, meaningful references to existing literature and a restriction to the essentials, the manuscript may still be saved",C,0.0005454934,0.00013191349,0.00018205543,0.00013468174,0.00018083729,0.00014650755
This sentence is so hard to digest it gave me reflux,C,0.010779649,0.00014756355,0.0008364612,0.00013029978,0.0003985606,0.00021113052
I also thing that the English of the manuscript need further polishing.,C,0.00080035586,0.00011233046,0.00015880783,0.0001202222,0.00018847891,0.00015778764
Several books that are cited but there is no evidence that they have ever been studied and understood.,C,0.0005767879,0.00012894292,0.00018325646,0.00012604585,0.00017841176,0.0001440512
It is difficult from this reviewer's perspective to even call these studies.,N,0.00054745557,0.00013160153,0.00018457993,0.00013184056,0.00017735745,0.00014495538
The take home message has to be extracted with significant labor from a punishing set of figures with multiple bar graphs.,C,0.000807014,0.000107345266,0.00016807401,0.00011406504,0.00018973551,0.00013740324
"suggesting much but saying nothing of import, the sort of balderdash that is in the vernacular often compared to the waste of certain male ruminants.",C,0.12438521,0.0002485901,0.0025626144,0.00020038514,0.015057479,0.0019654236
"What, then, is the point of this manuscript, which presents no truly new data, methods, conclusions, or arguments? I would venture that it has no raison d'etre, and is neither novel nor helpful.",C,0.00076012535,0.00011358487,0.00017017931,0.000114725655,0.00018236418,0.00014619996
