Text,Target
There is no need to test these hypotheses. They have been tested a long time ago. It is in all textbooks.,C
This would seem to constitute the very minimum basic scientific requirement for attempting to publish a body of (unoriginal) data,N
"The entire paper reads a bit like someone who has searched around the social scientific research literature without much authentic understanding of social science, social scientific research methodology, or statistical analyses",C
"Which means that, as the saying goes, if their results are correct they cannot be new, and if they are “new” they cannot possibly be correct.Frankly, it is hard to say which is the case",N
I am not convinced if any clear real value of this research.,N
This [sentence] construction should be reserved for police procedurals and bad Mafia movies.,N
"The authors are perpetuating misguided generalizations in the face of substantial
 
 
 experimental data to the contrary",C
"There are also other points that have to be addressed, but considering the current state of the manuscript, I do not think it is makes sense to go into further detail.",N
"It is very lengthy, full of mistakes, irrelevant information, and completely fails to attract readers.",N
Why chase a gene in this ridiculous organism?,N
Future work: The authors' personal research agenda is irrelevant here.,N
Line 306. The sentence follows a bit of a Yoda-esque grammar,N
I just don't get the point of this,N
I suggest you consult a competent statistical advisor.,N
It is more of a blog post than a research article,N
The sum total is frustration with what I can only call cavalier treatment of promising material.,N
With the appropriate revisions these results could provide a very limited contribution to the field.,N
I have rarely read a more blown-up and annoying paper in the last couple of years than this hot-air balloon manuscript,N
This paper introduces tools to answer questions which it does not seem many people are interested in,N
"In a nutshell, please cut out all the hype, show some integrity, and write a balanced paper.",C
The first problem is that the method - whatever it is and however it works - is insufficiently evaluated.,C
"Since the paper is mathematically empty and, compared with the conference version, provides no new ideas or findings,
 
 
 in general, I see no reason why it should be published in a journal as well.",C
Figure 6. This figure is silly.,C
Various statements seem to be sweeping and inaccurate generalizations with little robust justification,C
The manuscript reads much like an unrevised masters level paper.,N
"You do not use the empirical data for the analysis, but the empirical data uses you",N
"The candidate demonstrates no understanding of the subject matter and his proposal title is misleading. Furthermore, his career prospects are unclear.",N
"Since the manuscript is so lacking in all aspects, I won't bother going through it in detail.",N
"The author does not exhibit adequate acquaintance with the subject under discussion, the scholarship on it, the structure of logical argument, or the writing of English.",C
"Publishable, but why?",N
"I believe that the authors have done scientific work, but in the current form of the paper it is impossible to judge it.",N
"The color rainbow is pretty, but largely useless.",N
The authors report results from pages 16-26. This section reflects what I would brutally call 'death by figures',N
I cannot possibly imagine what could have led the authors to believe that their paper was remotely interesting enough to submit for publication.,N
Usually climate studies do not show a good method for the proposed research. This is one of them.,N
This is starting to feel like a book report,N
"If the editor somehow decides to accept this paper, they risk permanently destroying the credibility of this journal and its entire editorial board.",N
"Right now, there is zero rationale for the study and zero reason to read the study.",N
Details of how important these effects are are missing. Ref.75 is entertaining but inadequate in this respect.,C
It is essentially an opinion piece that editorializes shamelessly about the superior methods of a recent paper in the first person,N
I have difficulties identifying the aim and added value of the present study to this topic.,C
"The experiments are reasonable, but they fail the fundamental test of good science",N
I regret to inform you that our journal will not be able to publish your work. We contacted meanwhile 16 (sixteen!) reviewers of which 12 (twelve) did not respond positively (the others did not answer our queries).,N
Your proposed method should be compared with another method that introduced in a prestigious paper'[full review],C
Appears to be on the perimeter of meaningful investigation.,N
The rest of the Introduction is just as badly done as the first paragraph so I will not continue,N
This article is on an interesting topic. Unfortunately there is no more positive to say about this manuscript.,N
The study is poorly conceived and inadequately conducted and the conclusions made by the authors do not necessarily follow from the results,N
It reads more like a diagnosis confirmed by a set of examples,N
"Thus, there is nothing new in the manuscript that warrants publication in Science or most other scientific journals.",N
"Recommendation: Publish elsewhere
 
 
 Comments: [none]",N
It is safe to say that the authors want to see their paper published more than I really want to reject it,N
"The work is trivial, and there is no novelty in the work, the approach or the results. The authors do not solve anything and the implications in this context are quite possibly irrelevant.",C
I am sorry if I am missing something obvious here but this is not my area of work.,N
"First, the paper is for a large part incomprehensible",N
The paper is presented as a rather undigestible and tortuous collection of disparate results,N
Such a prestigious journal can surely make better use of its limited space.,N
"The paper comes with proofs, but – at a first glance – they seem to be more cute than useful.",N
"It is hard to imagine researchers of this caliber being unaware of a half-century the field x, especially as concerns the bulk of what they have done in this paper.",N
"I was really looking forward to reading this manuscript, however this enthusiasm soon waned.",N
You are trying to do too much and end up accomplishing too little. It is a collection of good ideas that do not add up to or advance to any meaningful conclusion.,N
I felt like I was reading a horror movie - the scene where our protagonist leaves the door unlocked and says 'let's split up' to his/her comrades. and you know doom is surely going to reach our protagonist soon.,N
"That's not possible to do without mind-reading, and there's nothing in the Method section about mind-reading methods",N
"And the Vygotsky reference is a straight-up drive-by citation, adding nothing except whatever luster he adds to the authors' claims.",N
"By now, there are over 1,000 [articles on this topic], but these authors have not read a single one.",N
"How does [redacted theory] explain your results? Or really, your underwhelming results?",N
"While this study represents a substantial amount of work, it is not all that clear why the work was done.",N
I wish I could explain what is the purpose of the manuscript.,N
It seems that the author is simply engaged in proprietary phrase coining - advancing a new term for a well-researched phenomenon,N
"The team has generated the kind of gaudy, brobdignagian dataset that makes it such a curious and exciting time",N
So many electrons worked so very very hard on this paper,N
The discussion is inappropriate and the new content is generally poorly written,N
It just doesn't make sense.,N
"In a nutshell, I am not sure if the problem is indeed a challenge or just a fact that we have to live with, such as gravity or death, for which no solutions exist.",N
"Moreover, it is unclear whether the effect is sufficiently important to warrant replication.",N
It is worth saying that I am not convinced that you contribute to the evidence base in this paper.,N
That's not how science is done.,N
The authors conclusions not only contradict their own data but also the laws of thermodynamics,C
"I really don't like to be harsh in my reviews, but ...",N
However I deplore the fact that this paper has been created at all,N
"While I think there is good reason to have performed this work, it does make for unexciting reading.",N
"Authors wanted to make title catchy but actually finished trivial title, a la 'Daily mail'",N
"While the problem is a very important one for modern society, the topic and lessons are not of broad interest.",C
"Line 156-160; this is the only correct, sensible and interesting finding of the paper.",N
It feels a little bit like someone wanting to run a series of statistics.,N
Simply conducting the same analyses in a different data set does not equate novelty or impact to the field.,N
"Are the '10 random reps"" chosen at random?",C
The authors need to add a level of puzzlement to their interpretations,N
One wonders whether the analysis was an exercise in using a cannon to open an unlocked door.,N
This work is only a maths game.,N
"Overall, I think this manuscript is a waste of time.",N
"Moreover, it is very difficult to see the actual contribution this manuscript will have",N
The abstract is intriguing but confusing,C
"I guess this proposal could be interesting, if you're interested in this obscure sect of biology",N
I don't understand thermodynamics.,N
"A great deal of effort has been expended here, but to what end?",N
This paper is desperate. Please reject it completely and then block the author's email ID so they can't use the online system in the future.,N
The Discussion section of the paper is neither informative nor enlightening and is certainly theoretically questionably,C
The word 'asses' should read 'assess',C
"Cite newer, relevant references, especially those published by X 2012, and X 2008. Best wishes, Dr. X, Associate Editor",C
Intermediary steps and the apologetics for [topic x] derived from an ahistorical cult and its author.,C
The team is very experienced. It [the paper] felt a bit less self referential than they often are,C
"Sorry for our long silence, due to some perplexity on our side at reading your manuscript.",N
I recommend the publication even if I am not impressed,N
"If the author is comfortable having his/her name on this paper, then I won't stand in the way of its publication.",N
I am impatient with this vague assertion.,N
The length of this review is occasioned by the density of error and misconceived arguments in this manuscript. As a service primarily to the authors I have decided to actually try to convey a sense of the extreme nature of the problems encumbering this submission.,C
"Unfortunately, I cannot recommend this paper for publication because its contents violate the laws of physics",C
"The authors are permitted to believe what they want to, but the data did not support 'important implications.",C
"However, the applicant seems to have run out of steam before he developed a detailed plan for the proposed research and then completed the proposal. This is unfortunate.",N
This book has more mistakes than a hound has fleas,C
I did not attempt to understand Figure 2 because there was no motivation given for it,C
"It looks to be more of a chance for the authors to promote a product using a poorly constructed, non-replicable pilot study",N
In order to be able to publish this manuscript it need [sic] to be rewritten in the form of a scientific article,C
"Through a streamlining of the argument, meaningful references to existing literature and a restriction to the essentials, the manuscript may still be saved",C
This sentence is so hard to digest it gave me reflux,C
I also thing that the English of the manuscript need further polishing.,C
Several books that are cited but there is no evidence that they have ever been studied and understood.,C
It is difficult from this reviewer's perspective to even call these studies.,N
The take home message has to be extracted with significant labor from a punishing set of figures with multiple bar graphs.,C
"suggesting much but saying nothing of import, the sort of balderdash that is in the vernacular often compared to the waste of certain male ruminants.",C
"What, then, is the point of this manuscript, which presents no truly new data, methods, conclusions, or arguments? I would venture that it has no raison d'etre, and is neither novel nor helpful.",C
this may eventually be a cited paper.,C
"Ugh. Read a book. This is grossly oversimplified, and not an appropriate statement for a scientific journal.",N
I would have preferred to read a meta-analysis,N
"This article describes [XY], a research project investigating methods for educational game design. The paper is poorly written"".[full review]",N
"Even if other readers found it comprehensible, there is not even a proposed path to make [this model] into a modeling system.",C
The paper was so boring I fell asleep halfway through,N
"The system described in the manuscript is inherently confusing. Despite re-reading, its basic elements did not make sense.",C
"High was my expectation, and so much deeper was my disappointment",N
To my mind the question [the paper is about] is similar to to the medieval debate concerning angels dancing on pinheads. I do not think the paper should be published.,N
This paper is written.,N
Your research paper is not motivated. There is no motivation behind your algorithm. Your results lack motivation.,C
In other words: the referee thinks this work is stuck in the past. The referee would rather talk about the future - some of the senior co-authors were the future once!,N
The results section is not great (boring).,C
This made the paper very long and may bore the reader,C
The study is largely descriptive in nature and mostly a fishing expedition. It will be great if they catch some interesting or unexpected fish.,C
The manuscript is a collection of fragmented and disconnected descriptive observations.,C
"This is clearly a submission that needs to be shredded, burned, and the ashes buried in multiple locations",N
I think the audience will eat him alive. But I want to be there to hear it.,N
The current manuscript is deceptive and I do not recommend its publication.,C
"There is an over-reliance on sophisticated statistics at the expense of good old fashioned, scientific thought",C
The title is the closest I've seen to manuscript clickbait,C
"This manuscript uses half of the available pages, and fails to explain what has
 
 
 been done, how and why",C
I would like to urge the authors to improve the language description to make the manuscript much clear and logic. A professional language expert is recommended to use,C
This section gives the impression that you'll throw a handful of darts at a target and see what you happen to hit.,N
It seems like you are torturing the data until the model converges.,C
The chapter is too scholarly and too casual,N
(after having cited an author) 'one could call this name-dropping,N
Unfortunately I was hoping for more.,N
Lots of hand waving in this Discussion,N
In the experimental part there is a lack of scientific by taking over results from reference literature.,C
I find myself disagreeing with most of this papers conclusions,N
The writer of the manuscript is utterly ridiculous and appears to believe they will solve poverty through radio astronomy.,N
Having read through this a couple of times I have ended up feeling rather depressed.,N
Reviewer #1: 'The project can hardly be described as high risk/high gain',C
Reviewer #3: 'The project is clearly high risk/high gain,C
The english languish should be improved,C
"The manuscript is too long for what the authors have to say. However, additional text is required as outlined below",C
"Fig 3e is fanciful, verging on silly",C
"Being the first is not the best motivation. For example, I could be the first one to jump of the SBE building with a triple back flip and no safety net. I'd be the first (I think) and it would even be quite spectacular (I'm sure), but that doesn't make it a good idea.",N
"They have addressed most of the reviewer comments, although their responses to a few of them remind me of Donald Trump.",N
The way the study is framed here and in the main body comes off as straw-mannish.,C
The abstract is ok in the context of a weak manuscript,C
The paper is an old fashioned one,N
I feel the results are insufficiently counter-intuitive to warrant publication in [fancy journal],C
An alternative to counting sheep.,N
"Most of the work is methodological rather than scientific, making it somewhat boring.",C
"The underlying science here is quite interesting, but the presentation does its best to disguise it",C
This paper is about combining inflexible specifications in a flexible way.,C
The investigator is in the top 50% of his field,N
"Focus on limitations, because they are many!",C
"The paper descends into nonsense, never to return, on line 44.",C
"It is at best of little value and, in the worst case, irrelevant
 
 
 and offensive",N
"The scales appear to be not divided into quartiles as stated, but rather are based on the distribution of the data (into quartiles).",C
I find the title and the main premise of the abstract confusing and illogical. [key concept X] has the logic of a Monty Python sketch,C
"The data you have are weak, based on very small samples, not clear that they were analyzed properly, and are based on measurements taken in the wrong medium for the organisms. I see little of value in this paper.",C
This manuscript is not publishable in a reasonable sense,N
is 'bisexuals' referring to the entire sample or those who identify solely as bisexual?,C
You should consider consulting a competent statistical adviser.,C
"the correlations are not that strong (e.g., p = .022)",C
This work is not an easy topic.,N
"The first problem in the 'Theoretical Analysis' section is trivial and requires no analysis, as any sensible schoolkid can identify its solution.",C
..incoherent babble of unsubstantiated overstatement.,N
The supportive tone of this review... took some effort.,N
"The biggest problem with this manuscript, which has nearly sucked the will to live out of me, is the terrible writing style.",C
This is a paper struggling not to die,N
This manuscript is obviously not suitable for publication in high impact factor journals.,N
Pity about the main thesis.,C
"And finally comes the conclusion, which is the intellectual equivalent of bubblegum.",C
"This is a well-intentioned but naïve and unscholarly presentation of a point of view that is not well-supported by evidence – a polemic, not a review",C
I really want to like this study.,N
"The citations of those two writers are cursory, almost impressionistic (in the negative sense of the term).",C
This paper is so bad I cannot even reject it!,N
The novelty is my most concern,C
I find this submission confusingly and not always grammatically written. The aims and objectives seem rather muddled. References are rather sparse.,C
The results are new but were predictable.,C
"There are numerous problems with this paper, starting with the title.",C
The authors should take the time to thoroughly refine and revise manuscripts before they are sent to innocent reviewers.,C
"The paper is overlong, very verbose and contains unnecessary repetition.",C
It would be wholly inappropriate to randomize living people to an intervention.,N
Ah-now I see a glimpse of promise in this paper,N
I'm a bonehead so maybe I missed this?,N
"Reading this paper, I am struck by the elegance and clarity of the writing and the ideas. I found myself thinking, “such a simple and obvious idea — why didn’t I think of that?",N
There are a bunch of other things going on that could be spuriously related.,C
"My disappointment when finding flawed analyses, conclusions, and terminology [..] was therefore substantial",C
It is rather clear that the paper is incomplete and hastily submitted. Note that you failed to provide the contribution number in the acknowledgements. The paper is NOT COMPLETE',C
"In the list of authors, one wonders whether these authors read the manuscript",N
"Sorry guys, I'm throwing in the towel.",N
"This lack of familiarity with the literature is admittedly a bit unnerving, but hey that's what peer-reviews are for",C
Nobody in their right mind would ever suggest such a model,C
The authors avoid making mistakes in the analysis of the data by not making any.,C
Probably switching to Bayesian stats will be too difficult for many scientists and especially students in the less intelligent fields (e.g. psych),C
"Please, also perform spell checking and proof-reading. Too much of typos!",C
The original study was published in PsycScience. This is just some work by a grad student. Reject.,N
"Not now, not ever",N
"‘Qualitative tracing, correlational variables’ – what are they?",C
Why not [do the study] in vivo instead of in vitro?,C
Well written.,N
In my view the manuscript provides a relatively superficial summary of the area which lacks any attempt at interpretation or novelty. It is adequate only as a light topical treatment for a broad audience.,C
I find the author's writing to be very undergraduate-like.,C
"In summary, while I believe the work to be valid, timely, original and relevant, I am unable to see in what sense this work accords to the strict journal's criteria.",C
In my opinion they are overly reliant on statistical analyses and fail at times to actually see if the observed data agrees with the statistical evaluation.,C
This paper is too difficult for a journal on Astrophysical Fluid Dynamics,C
"This is a disaster. I could continue, but you see my point. You do seem to have a story in mind, but you do a poor job at presenting it.",C
"Can you explain this part a bit further, but without going into detail.",C
I concur with the reviewers that the methods are insufficient and thus the conclusion are totally overblown.,C
"The paper is definitely exploratory, but probably not of interest to people other than the author.",N
"There is a very interesting story to be conveyed in this paper. The problem is that this interesting story is hidden behind layers of mud, and it is obscured because the paper is poorly written and badly organised.",C
I do not have the background to assess the accuracy or to detect errors in the equations but I do not agree with this.,N
Perpetuating the recognition of this as a valid species in the face of irrefutable evidence is dilettantish and scientifically unacceptable,C
The authors are also treating what might be called a “boutique” version within a model that is already considered by many to be a “boutique” model.,C
The authors should discard the data and collect it again properly.,C
It is always rather pleasant to recommend that a paper be rejected.,N
"I urge the authors to not publish this article anywhere, as it will impede the progress of scientific understanding",N
Some papers are a pleasure to read. This is not one of them.,N
"I was originally very excited to review this paper, since such a bridge would span uncharted lands – here be dragons! High was my expectation, and so much deeper was my disappointment",C
Not good.,N
Why exactly this task? I can think of a zillion other cognitive tasks,N
"I am concerned that the survey data for this report were collected in 2005, 15 years ago.",C
This manuscript was neither enjoyable nor informative to read,N
"It's like you sat around and dreamed up ideas, except they're just castles in the air",N
I have reviewed many manuscripts in my career and I have never seen so many repeated mistakes of this type.,N
"As it is often the case with conceptual developments, most of it doesn't make a lot of sense, in the end",N
"This paper is baffling […] In particular, I have not looked at all at section 2 of the paper",C
"Written in parts like an experience track paper, minus the experience.",N
My first concern is that I don't get it.,N
The beekeeping example also fails to convince. There is no discussion of bees' actual lived experience.,C
The overall tenor is disturbingly glossy and pretentious given the gravity of the topic,C
None of the following comments on the original manuscript has been correctly reflected or answered,C
This looks like a work of pure fantasy.,N
There are far too many typos and grammatical mistakes. I started to correct these but got annoyed.,C
"In addition, I would suggest either activating the spellchecker on Word, or keeping the cat from walking on your keyboard. I think one of your words was previously employed as a Thunder in 'Finnegan's Wake",C
I now turn to my best guess about what the authors might be doing.,N
"The following discussion seems to ignore this major flaw, which turns mere arm-waving into Olympic-level calisthenics",C
"This paper was authored by a keen blogger and his colleagues. The paper perhaps reflects this informal approach, to its detriment.",N
Use of words like 'performativity' (is that a word?),C
"It is very well done, but sits somewhat in isolation from other schools of thought. It is -and I mean this with no disrespect to the author - a sort of echidna or platypus of a paper.",C
"[entire review] 'Research method is very important for an academic study; however, the reviewer cannot accept a paper without hypothesis, validity, reliability",C
I would drop the first clause in the paper title. It does nothing other than degrade the scientific integrity of the work.,C
"Quite frankly, it seems that the technical language is used more to frighten and take power over the reader rather than to facilitate the reader in his task, that should be to understand the results of the work (if there are any)",C
These snotty kids in quantum information,N
I would very much have liked to read the article promised in the abstract.,C
"Overall, the superheated sense of justification and self-advertising on display here are simply demeaning.",N
The conclusion drawn by the authors seems self explanatory and does not require any validation through the presented work,N
The reported mean of 7.7 is misleading because it appears that close to half of your participants are scoring below that mean,C
I don't know what to 'do' with this.,N
"Bad, very bad.",N
"This is madness, frankly, almost regardless of how it was implemented.",N
This left me somewhere between scratching my head and pulling my hair out,N
"If you aren't going to make to the effort to understand, then you should just give up",N
The map on the article is entirely unscientific. The data itself is also very dubious.,C
the sthanthard of writing is impercable,N
You need a comma here. Do they not have commas at your institution or do they just cost a lot?,C
"Your content is stellar, and your writing is excellent. However, you should consider hiring an editor for subsequent revisions before submitting again.",C
Is this not the most frightening finding of all?,N
"By 'sex' you mean gender, and not sexual behavior?",N
This is a long and tedious manuscript,C
"It is unclear how this would advance the field beyond providing additional, previously unknown information.",C
I can see that the manuscript has archival value,N
[T]his was one of the least interesting papers that I have read in quite some time.,N
Figure 1. What does “Min” in panel c stand for?,C
This is (I'm sorry) utter nonsense.,N
"The ms comes over very much like a group of old wise men sitting around mulling over the terrible state of the world, and opening their hands and saying: well, what can we do about all these terrible things around us",N
"Lots of work, effort, but no real science.",N
"The paper does have some moderately interesting results. But by the time I had gone past Section 3.2, I lost interest because there was nothing that took me by surprise or wonder.",C
"There is a lot of terminology flung around such as 'false negatives', 'false positive' and 'median', 'first quartile', 'third quartile'",C
It appears that publication in any form would be premature at this time.,N
Often sounds like a precocious high-school student who is trying to show off how clever he is,N
There is so much that is wrong with this paper that it is difficult to know where to start,N
Add statistical support!,C
"This is a potentially interesting problem. Yet, not all potentially interesting problems are useful, such as this one.",N
You have two many misprints,C
STRENGTHS: none.,N
"To Review of the article was therefore a challenge which I accepted. In fact I regret this decision, at least to some degree.",N
It reads as if the author were giving a lecture and wandered off point to tell an interesting story.,N
You were either in a rush or you do not care too much about getting your paper accepted,N
No respectable biochemist would be seen in the same county as these data.,N
"Is 'Tartarstan' a magical land where they make all the world's tartar sauce? If not, I can only assume the author is referring to the Russian republic of Tatarstan.",N
The author gives the impression of having had some mathematical training.,N
"The results are obvious. In fact, so obvious that perhaps no one has bothered to write them down before.",N
The biggest value of this paper lies in the fact that its pages are bound together.,N
Table 5 is a beast. I have no idea what it is trying to say because it terrifies me,C
"The paper is not well written. It most presents itself as a long line of known definitions and theorems,but I am no expert in these matters.",N
"I'm sorry, this topic is just not very interesting",N
The work that this group does is a disgrace to science,N
"I have started reading this paper with great interest, but as I progressed in reading my interest has decreased significantly.",N
"Given the way the paper was structured, I felt I had to read most of it.",N
You're really funny.,N
"For a section on thought, very little seems to have gone into it.",N
"I also do not feel that the lead PI is qualified to undertake this work, or more accurately, that she should undertake this work;",N
"The figure is really not needed. Were I to be shown this by a psychologist, I suspect I would hire a replacement",N
The analyses are too statistic,C
"So the paper, which I was initially excited to read, ended up just making me mad.",N
"Comment 19
 
 
 I am not sure why there is a full section about limitations, this in itself says a lot about the study.",N
Despite all my efforts I failed to understand what the actual focus of this paper is,C
The findings are not novel and the solution induces despair.,N
"It is early in the year, but difficult to imagine any paper overtaking this one for lack of imagination, logic, or data—it is beyond redemption",N
I've never read anything like it & I do not mean it as a compliment,N
It amounts to story-telling,N
We regret that some of the remarks made by Referee 1 were not edited before being sent to you.,N
"The enormous and overwhelming -not to say pathetic- admiration, even adoration of the author for her subject is barely acceptable anymore for a modern biography.",N
Was the white noise random?,N
"I recommend acceptance, provided the editors are willing to stretch the standards for publication a bit",N
To me the question is uninteresting,N
"In the course of this paper many stones were thrown but, unfortunately, no birds were harmed.",N
The journal editor stated that our manuscript was rejected. We were shocked that the reviewer’s comments read “fuck you” (handwritten on a torn strip of paper scotch-taped to the editor’s letter to us),N
"The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup.",N
The peaceful atmosphere between Christmas and New Year was transiently disrupted by reading this manuscript.,N
I want to vomit,N
This is not a paper. This is part of … something. It cannot be reviewed and should be rejected right on.,N
The writing and data presentation are so bad that I had to leave work and go home early and then spend time to wonder what life is about.,C
It reads like papers often do when they are written in LaTeX. Reject.,N
"Overally speaking, the manuscript is well written.",C
Unless the authors performed some clever pagan ritual before euthanizing the animals I would use 'killed' (or 'euthanized') instead of 'sacrificed,N
I started to review this but could not get much past the abstract,N
"I found the use of the evolutionary theory problematic. This is a highly contested theory and the authors did not strongly justify their decision to use it, nor attend to some of the major flaws of the theory.",C
I now have had a chance to look at this paper. I think it is a bit of a joke.,N
Didn't like this one,N
They show they can account for 20% of the variance. No wonder. The usually accepted level is 50% to be useful.,C
"The authors use a log transformation, which is statistical machination, intended to deceive",C
"I have read this paper several times through, and I have nothing to say in its defense.",N
What is a 'systematic' review? I have never heard of an unsystematic review.,N
"You aimed for the bare minimum, and missed!",N
This article reads like the work of a reasonably competent undergraduate.,N
This looks like a very early draft,N
The writing is often arrestingly pedestrian,N
"presumptuous, ignorant and downright dangerous.",N
"This paper reads like a woman's diary, not like a scientific piece of work",N
"Limited scholarship, flawed design, and faulty logic engender no enthusiasm whatsoever",N
If you want to solve a puzzle you could just do sudoku.,N
Find your inner nerd—it must be a big part of you—bind and gap it and then dump it in the ocean tied to a large rock.,N
"While it unfortunately doesn't make for a flashy title (which the authors like more than British tabloids do), there is a simple alternative interpretation of their results",N
I don't believe in simulations,N
"Did all 5 authors say,'Yes, this is a piece of work I am proud to have my name on?",N
It (paper) has a kind of self-help quality to it,N
The authors should either retract the manuscript or completely revise it after completing the study and by following common scientific standards,N
There is no point in commenting on the statistical overkill in the submission. It simply should not have happened. It should never happen again.,N
"No new insights, no important question addressed, no problem solved.",N
"Maybe the authors should cite a reference intended for non-mathematicians (e.g., Burnham and Anderson 2002) instead of Akaike (1974), which I doubt that they have read and understood.",N
You have put in a lot of effort answering a question that should have never been asked,N
"Sprinkled here and there are some things, also taken from his readings, that are more or less correct. But it is all very confused.",N
"Many of the most serious errors are more or less just copied out from what he has read, so it is hard to know how to deal with such cases.",N
The paper failed to make the reviewers more than semi-excited,N
"leftover' is a noun, like old pizza. 'left over' is the verb you want.",N
Asterisk rather than Asterix,N
"The title of the paper indicates that the study was an RCT, but was it?",N
You need to learn how to think inside the box and stop smoking whatever it is you're smoking',N
Why do you have so many tables? Did you go to Ikea?,N
"In my feeling, no attempt has been made to create a coherent manuscript. The repetitions throughout the text and other deficiencies are so obvious that I suspect that none of the authors had ever read it from the beginning to the end.",C
[The methods section] reads more as if these explanations are put in to guide the authors themselves,N
"Given the dodgy sampling technique, one could and should wonder how useful it is to include a variable with so little explained variance",C
